Lee_Clarke, playsFor, Northern_Ireland_national_under-21_football_team
Luca_Toni, isAffiliatedTo, Vicenza_Calcio
Emanuele_Pesoli, playsFor, Vicenza_Calcio
Emanuele_Pesoli, isAffiliatedTo, Vicenza_Calcio
Mamadou_Samassa_(footballer_born_1986), isAffiliatedTo, France_national_football_team
Roberto_Floriano, playsFor, Inter_Milan
Zdravko_Kuzmanović, playsFor, Inter_Milan
Zdravko_Kuzmanović, isAffiliatedTo, Inter_Milan
Abdoulaye_Diarra, playsFor, Inter_Milan
Abdoulaye_Diarra, isAffiliatedTo, Inter_Milan
Valentin_Năstase, playsFor, Bologna_F.C._1909
Valentin_Năstase, isAffiliatedTo, Bologna_F.C._1909
Marcello_Lippi, isAffiliatedTo, Inter_Milan
Albin_Ekdal, playsFor, Bologna_F.C._1909
Albin_Ekdal, isAffiliatedTo, Bologna_F.C._1909
Cédric_Carrasso, playsFor, France_national_football_team
Cédric_Carrasso, isAffiliatedTo, France_national_football_team
Fabio_Moro, playsFor, Torino_F.C.
Fabio_Moro, isAffiliatedTo, Torino_F.C._1906
Fabio_Moro, isAffiliatedTo, Torino_F.C.
Stefan_Kohn, playsFor, OGC_Nice
Stefan_Kohn, isAffiliatedTo, OGC_Nice
Geovani_Faria_da_Silva, playsFor, Bologna_F.C._1909
Geovani_Faria_da_Silva, isAffiliatedTo, Bologna_F.C._1909
Emiliano_Viviano, playsFor, Bologna_F.C._1909
Emiliano_Viviano, playsFor, Inter_Milan
Emiliano_Viviano, isAffiliatedTo, Bologna_F.C._1909
Emiliano_Viviano, isAffiliatedTo, Inter_Milan
César_Ruminski, isAffiliatedTo, France_national_football_team
Giancarlo_Corradini, playsFor, Torino_F.C.
Giancarlo_Corradini, isAffiliatedTo, Torino_F.C._1906
Giancarlo_Corradini, isAffiliatedTo, Torino_F.C.
Éric_Mouloungui, playsFor, OGC_Nice
Éric_Mouloungui, isAffiliatedTo, OGC_Nice
Paul_Pogba, isAffiliatedTo, France_national_football_team
Jean-Marc_Schaer, playsFor, OGC_Nice
Jean-Marc_Schaer, isAffiliatedTo, OGC_Nice
Mika_Aaltonen, playsFor, Bologna_F.C._1909
Mika_Aaltonen, playsFor, Inter_Milan
Mika_Aaltonen, isAffiliatedTo, Bologna_F.C._1909
Mika_Aaltonen, isAffiliatedTo, Inter_Milan
Oumar_Dieng, isAffiliatedTo, France_national_football_team
Javier_Zanetti, playsFor, Inter_Milan
Javier_Zanetti, isAffiliatedTo, Inter_Milan
Nelson_Rivas, playsFor, Inter_Milan
Nelson_Rivas, isAffiliatedTo, Inter_Milan
Ariel_Cozzoni, playsFor, OGC_Nice
Ariel_Cozzoni, isAffiliatedTo, OGC_Nice
Blerim_Džemaili, playsFor, Torino_F.C.
Blerim_Džemaili, isAffiliatedTo, Torino_F.C._1906
Blerim_Džemaili, isAffiliatedTo, Torino_F.C.
Nicolas_Anelka, playsFor, France_national_football_team
Nicolas_Anelka, isAffiliatedTo, France_national_football_team
Tommaso_Vailatti, playsFor, Torino_F.C.
Tommaso_Vailatti, playsFor, Vicenza_Calcio
Tommaso_Vailatti, isAffiliatedTo, Torino_F.C._1906
Tommaso_Vailatti, isAffiliatedTo, Torino_F.C.
Tommaso_Vailatti, isAffiliatedTo, Vicenza_Calcio
Gino_Colaussi, isAffiliatedTo, Vicenza_Calcio
Antonino_Bernardini, playsFor, Torino_F.C.
Antonino_Bernardini, playsFor, Vicenza_Calcio
Antonino_Bernardini, isAffiliatedTo, Torino_F.C.
Antonino_Bernardini, isAffiliatedTo, Vicenza_Calcio
Bernard_Bosquier, playsFor, France_national_football_team
Bernard_Bosquier, isAffiliatedTo, France_national_football_team
